Path,Image,CDA_Per_Leaf,CDA_Count_Image,Orientation
Fig2_leaf_images/A/HMAswap/MP/1/,_DSC1014.TIF,6,30,1
,_DSC1015.TIF,6,30,1
Fig2_leaf_images/A/HMAswap/MP/2/,_DSC1157.TIF,6,30,1
,_DSC1158.TIF,6,30,1
Fig2_leaf_images/A/HMAswap/MP/3/,_DSC1332.TIF,6,30,1
,_DSC1333.TIF,6,30,1
Fig2_leaf_images/A/HMAswap/PM/1/,_DSC1016.TIF,6,30,1
,_DSC1017.TIF,6,30,1
Fig2_leaf_images/A/HMAswap/PM/2/,_DSC1159.TIF,6,30,1
,_DSC1160.TIF,6,30,1
Fig2_leaf_images/A/HMAswap/PM/3/,_DSC1334.TIF,6,30,1
,_DSC1335.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/Beta/,DSC_9231.TIF,6,30,0
,DSC_9232.TIF,6,30,0
,DSC_9233.TIF,6,30,0
,DSC_9234.TIF,6,30,0
,DSC_9235.TIF,6,30,0
,DSC_9236.TIF,6,30,0
,DSC_9237.TIF,6,30,0
,DSC_9238.TIF,6,30,0
,DSC_9239.TIF,6,30,0
,DSC_9240.TIF,6,30,0
,DSC_9241.TIF,6,30,0
,DSC_9242.TIF,6,30,0
Fig2_leaf_images/B/Chimeras/Repeat1/1/,DSC_0103.TIF,6,30,1
,DSC_0104.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/Repeat1/2/,DSC_0105.TIF,6,30,1
,DSC_0106.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/Repeat1/3/,DSC_0107.TIF,6,30,1
,DSC_0108.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/Repeat1/4/,DSC_0109.TIF,6,30,1
,DSC_0110.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/Repeat1/5/,DSC_0111.TIF,6,30,1
,DSC_0112.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/Repeat1/6/,DSC_0113.TIF,6,30,1
,DSC_0114.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/repeat2/1/,DSC_0207.TIF,6,30,1
,DSC_0208.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/repeat2/2/,DSC_0209.TIF,6,30,1
,DSC_0210.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/repeat2/3/,DSC_0211.TIF,6,30,1
,DSC_0212.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/repeat2/4/,DSC_0213.TIF,6,30,1
,DSC_0214.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/repeat2/5/,DSC_0215.TIF,6,30,1
,DSC_0216.TIF,6,30,1
Fig2_leaf_images/B/Chimeras/repeat2/6/,DSC_0217.TIF,6,30,1
,DSC_0218.TIF,6,30,1
i2i3_scoring/210908-images/,_DSC8785.tif,8,64,0
,_DSC8786.tif,8,64,0
,_DSC8787.tif,8,56,0
,_DSC8788.tif,8,64,0
M1R5_M1APB_D_scoring/21-01-2022-images/,_DSC1804.tif,8,128,0
,_DSC1805.tif,8,128,0
M1R5_M1APB_D_scoring/22-09-2021-images/,_DSC9258.tif,8,80,0
,_DSC9259.tif,8,80,0
,_DSC9260.tif,8,80,2
,_DSC9261.tif,8,80,2
M1R5_M1APB_D_scoring/26-01-2022-images/,_DSC1646.tif,8,120,0
,_DSC1647.tif,8,128,0
M1RGA5_M1APB_APia_scoring/211028-images/,_DSC9854.tif,5,40,0
,_DSC9856.tif,5,40,0
,_DSC9857.tif,5,20,0
M1RGA5_M1APB_APia_scoring/211106-images/,_DSC0023.tif,8,64,0
,_DSC0024.tif,8,64,0
,_DSC0025-AVRPib.tif,2,8,0
M1RGA5_M1APB_APia_scoring/211111-images/,_DSC0138.tif,8,64,0
,_DSC0139.tif,8,64,0
M1RGA5_M1APB_APia_scoring/211117-images/,_DSC0175.tif,8,112,0
Piik (DeltaHMA)/1/,_DSC0764.tif,6,30,3
,_DSC0765.tif,6,30,3
,_DSC0766.tif,6,30,3
,_DSC0767.tif,6,30,3
,_DSC0768.tif,6,30,3
,_DSC0769.tif,6,30,3
,_DSC0770.tif,6,30,3
,_DSC0771.tif,6,30,3
Piik (DeltaHMA)/2/,DSC_3611.tif,6,30,1
,DSC_3612.tif,6,30,1
,DSC_3613.tif,6,30,1
,DSC_3614.tif,6,30,1
,DSC_3615.tif,6,30,1
,DSC_3616.tif,6,30,1
,DSC_3617.tif,6,30,1
,DSC_3618.tif,6,30,1
Raw_Data_Adam/New_data_from_Adam/M1APB_D_C_F_scoring/211028-images/,_DSC9858.tif,8,64,0
,_DSC9859.tif,8,56,0
Raw_Data_Adam/New_data_from_Adam/M1APB_D_C_F_scoring/211117-images/,_DSC0170.tif,8,80,0
Raw_Data_Adam/New_data_from_Adam/M1APB_D_C_F_scoring/21012022-images/,_DSC1648.tif,8,128,0
