index,Path,MD5Hash,count,basename,scorer1,scorer2,scorer3
18,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/1/E/DSC_7587.TIF,085f1372abc016512c2025819c8f34cb,30,DSC_7587.TIF,JoshW,JoshB,Caroline
90,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/maidement-et-al-2023_cell-death-assays/S258E/rep2_2018-07-06/DSC_6338.tif,3cf94d1aeacdb89dc5128a9bb058cea0,30,DSC_6338.tif,JoshW,JoshB,Caroline
37,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/maidement-et-al-2023_cell-death-assays/D224/rep2_2018-01-26/_DSC8106.tif,376b3fa4ca20df55c066b9d2a7e85d56,30,_DSC8106.tif,JoshW,JoshB,Caroline
80,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/maidement-et-al-2023_cell-death-assays/PPS7S/rep1_2017-08-11/DSC_9228_s1.TIF,7652ad41bf5fafd51da8e0919a7d6d38,30,DSC_9228_s1.TIF,JoshW,JoshB,Caroline
107,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/maidement-et-al-2023_cell-death-assays/SNKEKE_C/rep3_2017-11-17/DSC_1344.tif,6b2ff0786ec5b6fedffe1bad6014fc8f,30,DSC_1344.tif,JoshW,JoshB,Caroline
87,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/maidement-et-al-2023_cell-death-assays/S258E/rep1_2018-06-08/_DSC2691.tif,8b47de34d9cd50eef6a01ba007ec18fe,30,_DSC2691.tif,JoshW,JoshB,Caroline
25,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/2/E/DSC_7494.TIF,381e190d8bda4a13338a3f59c0bbf454,30,DSC_7494.TIF,JoshW,JoshB,Caroline
55,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/maidement-et-al-2023_cell-death-assays/PPS7P_AE/rep3_2022-10-21/_DSC7359.tif,0a62a6e87de899d124336456094485d5,60,_DSC7359.tif,JoshW,JoshB,Caroline
7,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Juan_Marina_NKKE_eLife_2019/Figures/Section I/Figure/Cell death assay WT NK AVR alleles/Cell death/2/_DSC3537.TIF,7206bcea65cef5104894ff18c4e39032,30,_DSC3537.TIF,JoshW,JoshB,Caroline
26,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/3/A/DSC_7708.TIF,cea89dad5c91d7b97fa496355d2525a6,30,DSC_7708.TIF,JoshW,JoshB,Caroline
