Set,Path,Image,CDA_Per_Leaf,CDA_Count_Image,Orientation
1,Fig2_leaf_images/A/HMAswap/MP/1/,_DSC1014.TIF,6,30,1
1,,_DSC1015.TIF,6,30,1
1,Fig2_leaf_images/A/HMAswap/MP/2/,_DSC1157.TIF,6,30,1
1,,_DSC1158.TIF,6,30,1
1,Fig2_leaf_images/A/HMAswap/MP/3/,_DSC1332.TIF,6,30,1
1,,_DSC1333.TIF,6,30,1
1,Fig2_leaf_images/A/HMAswap/PM/1/,_DSC1016.TIF,6,30,1
1,,_DSC1017.TIF,6,30,1
1,Fig2_leaf_images/A/HMAswap/PM/2/,_DSC1159.TIF,6,30,1
1,,_DSC1160.TIF,6,30,1
1,Fig2_leaf_images/A/HMAswap/PM/3/,_DSC1334.TIF,6,30,1
1,,_DSC1335.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/Beta/,DSC_9231.TIF,6,30,0
1,,DSC_9232.TIF,6,30,0
1,,DSC_9233.TIF,6,30,0
1,,DSC_9234.TIF,6,30,0
1,,DSC_9235.TIF,6,30,0
1,,DSC_9236.TIF,6,30,0
1,,DSC_9237.TIF,6,30,0
1,,DSC_9238.TIF,6,30,0
1,,DSC_9239.TIF,6,30,0
1,,DSC_9240.TIF,6,30,0
1,,DSC_9241.TIF,6,30,0
1,,DSC_9242.TIF,6,30,0
1,Fig2_leaf_images/B/Chimeras/Repeat1/1/,DSC_0103.TIF,6,30,1
1,,DSC_0104.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/Repeat1/2/,DSC_0105.TIF,6,30,1
1,,DSC_0106.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/Repeat1/3/,DSC_0107.TIF,6,30,1
1,,DSC_0108.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/Repeat1/4/,DSC_0109.TIF,6,30,1
1,,DSC_0110.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/Repeat1/5/,DSC_0111.TIF,6,30,1
1,,DSC_0112.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/Repeat1/6/,DSC_0113.TIF,6,30,1
1,,DSC_0114.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/repeat2/1/,DSC_0207.TIF,6,30,1
1,,DSC_0208.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/repeat2/2/,DSC_0209.TIF,6,30,1
1,,DSC_0210.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/repeat2/3/,DSC_0211.TIF,6,30,1
1,,DSC_0212.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/repeat2/4/,DSC_0213.TIF,6,30,1
1,,DSC_0214.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/repeat2/5/,DSC_0215.TIF,6,30,1
1,,DSC_0216.TIF,6,30,1
1,Fig2_leaf_images/B/Chimeras/repeat2/6/,DSC_0217.TIF,6,30,1
1,,DSC_0218.TIF,6,30,1
1,i2i3_scoring/210908-images/,_DSC8785.tif,8,64,0
1,,_DSC8786.tif,8,64,0
1,,_DSC8787.tif,8,56,0
1,,_DSC8788.tif,8,64,0
1,M1R5_M1APB_D_scoring/21-01-2022-images/,_DSC1804.tif,8,128,0
1,,_DSC1805.tif,8,128,0
1,M1R5_M1APB_D_scoring/22-09-2021-images/,_DSC9258.tif,8,80,0
1,,_DSC9259.tif,8,80,0
1,,_DSC9260.tif,8,80,2
1,,_DSC9261.tif,8,80,2
1,M1R5_M1APB_D_scoring/26-01-2022-images/,_DSC1646.tif,8,120,0
1,,_DSC1647.tif,8,128,0
1,M1RGA5_M1APB_APia_scoring/211028-images/,_DSC9854.tif,5,40,0
1,,_DSC9856.tif,5,40,0
1,,_DSC9857.tif,5,20,0
1,M1RGA5_M1APB_APia_scoring/211106-images/,_DSC0023.tif,8,64,0
1,,_DSC0024.tif,8,64,0
1,,_DSC0025-AVRPib.tif,2,8,0
1,M1RGA5_M1APB_APia_scoring/211111-images/,_DSC0138.tif,8,64,0
1,,_DSC0139.tif,8,64,0
1,M1RGA5_M1APB_APia_scoring/211117-images/,_DSC0175.tif,8,112,0
1,Piik (DeltaHMA)/1/,_DSC0764.tif,6,30,3
1,,_DSC0765.tif,6,30,3
1,,_DSC0766.tif,6,30,3
1,,_DSC0767.tif,6,30,3
1,,_DSC0768.tif,6,30,3
1,,_DSC0769.tif,6,30,3
1,,_DSC0770.tif,6,30,3
1,,_DSC0771.tif,6,30,3
1,Piik (DeltaHMA)/2/,DSC_3611.tif,6,30,1
1,,DSC_3612.tif,6,30,1
1,,DSC_3613.tif,6,30,1
1,,DSC_3614.tif,6,30,1
1,,DSC_3615.tif,6,30,1
1,,DSC_3616.tif,6,30,1
1,,DSC_3617.tif,6,30,1
1,,DSC_3618.tif,6,30,1
1,Raw_Data_Adam/New_data_from_Adam/M1APB_D_C_F_scoring/211028-images/,_DSC9858.tif,8,64,0
1,,_DSC9859.tif,8,56,0
1,Raw_Data_Adam/New_data_from_Adam/M1APB_D_C_F_scoring/211117-images/,_DSC0170.tif,8,80,0
1,Raw_Data_Adam/New_data_from_Adam/M1APB_D_C_F_scoring/21012022-images/,_DSC1648.tif,8,128,0
2,Juan_Marina_NKKE_eLife_2019/Figures/Section I/Figure/Cell death assay WT NK AVR alleles/Cell death/1,_DSC3040.TIF,6,36,1
2,,_DSC3041.TIF,6,36,1
2,,_DSC3042.TIF,6,30,1
2,,_DSC3043.TIF,6,36,1
2,,_DSC3044.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section I/Figure/Cell death assay WT NK AVR alleles/Cell death/2,_DSC3535.TIF,6,30,1
2,,_DSC3536.TIF,6,30,1
2,,_DSC3537.TIF,6,30,1
2,,_DSC3538.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section I/Figure/Cell death assay WT NK AVR alleles/Cell death/3,DSC_5085.TIF,6,30,1
2,,DSC_5086.TIF,6,30,1
2,,DSC_5087.TIF,6,30,1
2,,DSC_5088.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section I/Figure/Cell death assay WT NK AVR alleles/Cell death/Leaves for figure,DSC_8534.tif,4,20,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/1/A,DSC_7583.TIF,6,30,1
2,,DSC_7584.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/1/D,DSC_7585.TIF,6,30,1
2,,DSC_7586.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/1/E,DSC_7587.TIF,6,30,1
2,,DSC_7588.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/2/A,DSC_7489.TIF,6,30,1
2,,DSC_7490.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/2/D,DSC_7491.TIF,6,30,1
2,,DSC_7492.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/2/E,DSC_7493.TIF,6,30,1
2,,DSC_7494.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/3/A,DSC_7708.TIF,6,30,2
2,,DSC_7709.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/3/D,DSC_7710.TIF,6,30,1
2,,DSC_7711.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/3/E,DSC_7712.TIF,6,30,1
2,,DSC_7713.TIF,6,30,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/H46D53,DSC_6261.tif,4,12,1
2,Juan_Marina_NKKE_eLife_2019/Figures/Section IV/Cell death assay NK AVR mutants/NK E53,DSC_7811.tif,4,16,2
2,maidement-et-al-2023_cell-death-assays/D224/rep1_2018-01-19,_DSC7623.tif,6,30,0
2,,_DSC7624.tif,6,30,0
2,maidement-et-al-2023_cell-death-assays/D224/rep2_2018-01-26,_DSC8105.tif,6,30,0
2,,_DSC8106.tif,6,30,0
2,maidement-et-al-2023_cell-death-assays/D224/rep3_2018-02-02,DSC_2827.TIF,6,30,0
2,,DSC_2828.TIF,6,30,0
2,maidement-et-al-2023_cell-death-assays/Ploop_MHD/rep1_2019-05-03,DSC_2394.tif,6,30,0
2,,DSC_2395.tif,6,30,0
2,,DSC_2396.tif,6,30,0
2,,DSC_2397.tif,6,30,0
2,maidement-et-al-2023_cell-death-assays/Ploop_MHD/rep2_2019-05-08,DSC_2451.tif,6,30,0
2,,DSC_2452.tif,6,30,0
2,,DSC_2453.tif,6,30,0
2,,DSC_2454.tif,6,30,0
2,maidement-et-al-2023_cell-death-assays/Ploop_MHD/rep3_2019-05-22,DSC_2867.tif,6,30,0
2,,DSC_2868.tif,6,30,0
2,,DSC_2869.tif,6,30,0
2,,DSC_2870.tif,6,30,0
2,,DSC_2871.tif,4,8,0
2,maidement-et-al-2023_cell-death-assays/PPS7P_AE/rep1_2022-10-07,DSC_1556.tif,6,60,0
2,maidement-et-al-2023_cell-death-assays/PPS7P_AE/rep2_2022-10-14,DSC_1593.tif,6,60,0
2,maidement-et-al-2023_cell-death-assays/PPS7P_AE/rep3_2022-10-21,_DSC7359.tif,6,60,0
2,maidement-et-al-2023_cell-death-assays/PPS7P_C/rep1_2017-10-20,DSC_0807.tif,6,30,0
2,,DSC_0808.tif,6,30,0
2,,DSC_0810.tif,6,30,0
