scorer,basename,row,col,pos,x1,x2,y1,y2,old_score,median_score,new_score
Emma,_DSC1015.TIF,1,1,4,1010.0,1258.0,981.0,1229.0,6.0,6.0,6
Emma,DSC_9241.TIF,2,2,6,2292.0,2576.0,686.0,970.0,4.0,4.0,3
Emma,_DSC0764.tif,1,2,1,1914.0,2162.0,995.0,1243.0,2.0,2.0,2
Emma,DSC_3613.tif,3,1,3,608.0,936.0,3459.0,3787.0,3.0,3.0,4
Emma,DSC_5086.TIF,3,1,5,1390.0,1754.0,3336.0,3700.0,4.0,4.0,4
Emma,_DSC3043.TIF,3,1,1,1018.0,1268.0,3416.0,3666.0,5.0,6.0,5
Emma,DSC_0208.TIF,3,3,2,2100.0,2338.0,3774.0,4012.0,3.0,2.0,3
Emma,DSC_0208.TIF,1,3,1,2300.0,2512.0,1264.0,1476.0,6.0,4.0,6
Emma,DSC_5086.TIF,1,2,2,1260.0,1530.0,582.0,852.0,1.0,1.0,1
Emma,_DSC3040.TIF,2,2,2,2298.0,2606.0,2459.0,2767.0,3.0,3.0,3
Emma,_DSC1648.tif,4,4,8,4057.0,4231.0,2734.0,2908.0,1.0,2.0,2
Emma,_DSC9858.tif,1,1,3,424.0,630.0,1074.0,1280.0,5.0,5.0,6
Emma,_DSC8104.tif,3,3,3,2178.0,2440.0,3690.0,3952.0,5.0,5.0,6
Emma,DSC_7493.TIF,2,3,2,2007.0,2259.0,2212.0,2464.0,1.0,1.0,1
Emma,_DSC0770.tif,3,3,5,3057.0,3367.0,4076.0,4386.0,3.0,2.0,3
Emma,_DSC7360.tif,2,1,1,458.0,648.0,1936.0,2126.0,1.0,1.0,1
Emma,DSC_7585.TIF,2,1,5,1020.0,1298.0,1560.0,1838.0,4.0,4.0,4
Emma,DSC_2451.tif,1,1,5,1201.0,1433.0,474.0,706.0,6.0,6.0,6
Emma,_DSC1158.TIF,2,3,6,2772.0,3056.0,2086.0,2370.0,4.0,4.0,4
Emma,_DSC0138.tif,2,3,8,3319.0,3529.0,2190.0,2400.0,1.0,1.0,2
Emma,DSC_8263.tif,1,1,6,886.0,1164.0,443.0,721.0,5.0,5.0,6
Emma,DSC_1349.tif,1,3,6,2224.0,2460.0,414.0,650.0,6.0,6.0,6
Emma,DSC_1180.tif,3,3,6,2427.0,2697.0,2764.0,3034.0,6.0,5.0,6
Emma,_DSC0768.tif,3,1,4,1324.0,1706.0,4188.0,4570.0,1.0,2.0,2
Emma,DSC_1173.tif,2,2,1,1517.0,1717.0,1728.0,1928.0,4.0,4.0,4
Emma,_DSC9261.tif,2,1,2,704.0,916.0,1653.0,1865.0,6.0,5.0,5
Emma,_DSC7623.tif,1,1,1,620.0,858.0,786.0,1024.0,6.0,6.0,6
Emma,DSC_3613.tif,3,1,1,674.0,920.0,2940.0,3186.0,4.0,4.0,4
Emma,DSC_1350.tif,2,2,5,1985.0,2221.0,2014.0,2250.0,5.0,6.0,6
Emma,_DSC8104.tif,2,2,4,2042.0,2292.0,2190.0,2440.0,5.0,5.0,5
Emma,DSC_4388.TIF,1,3,1,1980.0,2234.0,501.0,755.0,4.0,4.0,4
Emma,_DSC8104.tif,3,3,4,2803.0,3099.0,3712.0,4008.0,4.0,3.0,3
Emma,DSC_7712.TIF,2,1,3,734.0,1062.0,2259.0,2587.0,1.0,1.0,1
Emma,_DSC9258.tif,1,1,2,686.0,924.0,561.0,799.0,2.0,2.0,2
Emma,_DSC7360.tif,2,4,1,3736.0,3944.0,1860.0,2068.0,4.0,4.0,4
Emma,_DSC7360.tif,2,1,4,826.0,1024.0,2341.0,2539.0,3.0,3.0,3
Emma,DSC_3613.tif,2,1,5,1210.0,1454.0,1862.0,2106.0,5.0,4.0,4
Emma,_DSC1334.TIF,3,1,5,1382.0,1800.0,3504.0,3922.0,3.0,4.0,3
Emma,_DSC7360.tif,1,5,2,4689.0,4871.0,588.0,770.0,1.0,1.0,0
Emma,DSC_8266.tif,1,3,4,2410.0,2696.0,1088.0,1374.0,6.0,5.0,5
Emma,_DSC8787.tif,1,3,6,3520.0,3726.0,1292.0,1498.0,2.0,2.0,1
Emma,DSC_1173.tif,1,1,5,1032.0,1244.0,554.0,766.0,4.0,4.0,4
Emma,_DSC8788.tif,2,3,5,3604.0,3848.0,2576.0,2820.0,3.0,3.0,2
Emma,DSC_0216.TIF,2,2,2,1152.0,1336.0,2352.0,2536.0,3.0,3.0,3
Emma,_DSC9854.tif,2,2,1,1536.0,1766.0,2139.0,2369.0,3.0,3.0,3
Emma,DSC_8270.tif,2,2,1,1402.0,1592.0,1685.0,1875.0,5.0,5.0,6
Emma,_DSC8787.tif,2,3,5,3448.0,3624.0,2789.0,2965.0,6.0,6.0,6
Emma,_DSC1015.TIF,2,2,2,1180.0,1410.0,2256.0,2486.0,6.0,6.0,6
Emma,_DSC0765.tif,3,3,1,2432.0,2742.0,3958.0,4268.0,3.0,2.0,2
Emma,DSC_0215.TIF,1,3,4,2697.0,2975.0,1424.0,1702.0,3.0,3.0,3
Emma,_DSC1332.TIF,3,1,1,882.0,1232.0,3340.0,3690.0,5.0,5.0,4
Emma,_DSC1648.tif,3,4,1,3852.0,4018.0,1898.0,2064.0,5.0,5.0,5
Emma,DSC_9241.TIF,3,1,2,875.0,1139.0,1762.0,2026.0,3.0,3.0,2
Emma,DSC_9237.TIF,1,3,2,3637.0,3903.0,440.0,706.0,3.0,3.0,3
Emma,DSC_2396.tif,2,2,3,1338.0,1538.0,2228.0,2428.0,2.0,3.0,2
Emma,_DSC1017.TIF,3,3,5,3104.0,3446.0,3627.0,3969.0,5.0,5.0,5
Emma,DSC_1349.tif,3,1,3,333.0,561.0,3530.0,3758.0,4.0,4.0,5
Emma,_DSC9858.tif,2,2,4,1696.0,1962.0,2663.0,2929.0,4.0,4.0,4
Emma,DSC_1176.tif,1,1,2,550.0,780.0,644.0,874.0,4.0,3.0,4
Emma,_DSC1015.TIF,1,3,4,2914.0,3114.0,1195.0,1395.0,5.0,5.0,6
Emma,_DSC1648.tif,1,3,1,3104.0,3246.0,328.0,470.0,4.0,4.0,5
Emma,DSC_1349.tif,3,1,1,435.0,721.0,2932.0,3218.0,2.0,1.0,2
Emma,_DSC7360.tif,1,2,6,1778.0,1976.0,366.0,564.0,4.0,4.0,4
Emma,_DSC1332.TIF,1,2,2,1371.0,1657.0,772.0,1058.0,5.0,6.0,6
Emma,DSC_0218.TIF,3,1,6,948.0,1210.0,3336.0,3598.0,4.0,4.0,3
Emma,DSC_7712.TIF,3,1,4,1467.0,1745.0,3842.0,4120.0,2.0,2.0,2
Emma,DSC_6337.tif,1,3,5,2201.0,2413.0,790.0,1002.0,3.0,3.0,3
Emma,_DSC3536.TIF,1,2,6,1934.0,2238.0,739.0,1043.0,6.0,6.0,6
Emma,DSC_4545.TIF,1,3,6,2233.0,2419.0,540.0,726.0,5.0,4.0,5
Emma,DSC_8270.tif,3,3,3,2234.0,2444.0,3244.0,3454.0,5.0,5.0,5
Emma,_DSC7622.tif,1,3,5,2570.0,2866.0,943.0,1239.0,6.0,6.0,6
Emma,_DSC0138.tif,1,1,1,756.0,952.0,835.0,1031.0,5.0,5.0,5
Emma,_DSC9858.tif,2,1,4,540.0,768.0,2743.0,2971.0,3.0,2.0,3
Emma,DSC_8270.tif,1,3,5,2276.0,2518.0,644.0,886.0,5.0,5.0,6
Emma,_DSC3044.TIF,3,3,3,2232.0,2494.0,4284.0,4546.0,3.0,3.0,3
Emma,DSC_1350.tif,1,3,5,2250.0,2478.0,700.0,928.0,6.0,6.0,6
Emma,_DSC3536.TIF,2,1,6,1144.0,1542.0,2015.0,2413.0,4.0,4.0,3
Emma,_DSC8788.tif,2,4,1,4498.0,4704.0,1978.0,2184.0,3.0,3.0,3
Emma,DSC_1180.tif,3,1,6,687.0,923.0,2798.0,3034.0,6.0,6.0,6
Emma,DSC_1176.tif,3,1,1,496.0,674.0,2792.0,2970.0,6.0,6.0,6
Emma,DSC_0208.TIF,1,1,2,548.0,784.0,1316.0,1552.0,6.0,5.0,5
Emma,_DSC8788.tif,1,4,1,4297.0,4483.0,746.0,932.0,1.0,1.0,1
Emma,_DSC0139.tif,1,3,8,3700.0,3922.0,610.0,832.0,1.0,1.0,1
Emma,_DSC9858.tif,1,4,4,4308.0,4552.0,1248.0,1492.0,4.0,3.0,3
Emma,DSC_8270.tif,2,2,6,1617.0,1797.0,1738.0,1918.0,6.0,6.0,6
Emma,_DSC1017.TIF,1,3,6,2623.0,2985.0,438.0,800.0,3.0,3.0,2
Emma,_DSC3536.TIF,2,1,1,858.0,1144.0,2012.0,2298.0,4.0,4.0,4
Emma,_DSC9858.tif,2,3,5,3493.0,3715.0,2740.0,2962.0,3.0,3.0,3
Emma,DSC_4389.TIF,1,3,4,2464.0,2686.0,1232.0,1454.0,3.0,3.0,4
Emma,_DSC9260.tif,3,1,3,970.0,1166.0,3026.0,3222.0,2.0,2.0,2
Emma,DSC_1349.tif,3,3,5,2360.0,2562.0,3206.0,3408.0,6.0,6.0,6
Emma,_DSC1017.TIF,3,3,6,2842.0,3190.0,3370.0,3718.0,,1.0,1
Emma,DSC_3613.tif,2,1,4,1222.0,1476.0,2187.0,2441.0,4.0,3.0,3
Emma,DSC_0208.TIF,3,3,6,2566.0,2768.0,3640.0,3842.0,3.0,3.0,5
Emma,_DSC0139.tif,1,2,5,2066.0,2302.0,1282.0,1518.0,3.0,4.0,3
Emma,_DSC8787.tif,1,4,3,4126.0,4342.0,1286.0,1502.0,6.0,5.0,5
Emma,DSC_1173.tif,1,1,6,917.0,1107.0,370.0,560.0,4.0,4.0,5
Emma,_DSC1648.tif,3,1,6,1592.0,1742.0,2328.0,2478.0,6.0,4.0,6
Emma,DSC_8265.tif,1,3,3,2081.0,2323.0,1086.0,1328.0,2.0,2.0,1
Emma,_DSC0765.tif,2,1,1,508.0,842.0,1984.0,2318.0,2.0,2.0,1
