scorer,basename,row,col,pos,x1,x2,y1,y2,old_score,median_score,new_score
JoshW,DSC_1593.tif,1,1,4,730.0,926.0,800.0,996.0,4.0,4.0,4
JoshW,DSC_0217.TIF,1,1,1,324.0,598.0,872.0,1146.0,3.0,4.0,3
JoshW,DSC_0217.TIF,1,3,4,2798.0,3058.0,1505.0,1765.0,1.0,1.0,2
JoshW,DSC_7710.TIF,3,3,5,2708.0,2932.0,3663.0,3887.0,4.0,5.0,5
JoshW,_DSC8786.tif,2,4,1,4241.0,4453.0,2216.0,2428.0,3.0,3.0,3
JoshW,DSC_8269.tif,2,2,3,1231.0,1467.0,2224.0,2460.0,4.0,6.0,4
JoshW,DSC_0217.TIF,3,3,1,2284.0,2536.0,3640.0,3892.0,2.0,2.0,2
JoshW,DSC_1351.tif,2,2,4,1522.0,1740.0,2268.0,2486.0,3.0,3.0,3
JoshW,DSC_7710.TIF,3,1,4,1492.0,1728.0,3952.0,4188.0,5.0,5.0,6
JoshW,DSC_0808.tif,1,1,6,1028.0,1188.0,548.0,708.0,6.0,6.0,6
JoshW,DSC_1593.tif,2,1,6,562.0,742.0,2086.0,2266.0,3.0,3.0,1
JoshW,DSC_9239.TIF,3,1,4,1492.0,1734.0,2249.0,2491.0,1.0,1.0,1
JoshW,_DSC0024.tif,2,3,1,3138.0,3324.0,2096.0,2282.0,0.0,1.0,0
JoshW,DSC_1344.tif,1,3,6,2282.0,2512.0,404.0,634.0,3.0,2.0,3
JoshW,DSC_0217.TIF,3,3,3,2208.0,2470.0,4191.0,4453.0,,1.0,1
JoshW,DSC_0217.TIF,2,2,1,1458.0,1712.0,1909.0,2163.0,1.0,2.0,1
JoshW,_DSC1646.tif,4,1,1,1118.0,1282.0,2739.0,2903.0,4.0,4.0,4
JoshW,_DSC1646.tif,1,3,6,3306.0,3498.0,403.0,595.0,5.0,5.0,4
JoshW,DSC_9231.TIF,1,1,5,1092.0,1310.0,394.0,612.0,4.0,4.0,4
JoshW,_DSC0023.tif,1,1,1,490.0,680.0,991.0,1181.0,3.0,3.0,3
JoshW,_DSC2691.tif,1,3,2,2018.0,2266.0,1191.0,1439.0,0.0,1.0,1
JoshW,_DSC1016.TIF,2,2,1,1373.0,1711.0,1746.0,2084.0,0.0,1.0,1
JoshW,DSC_3616.tif,2,1,3,495.0,821.0,2352.0,2678.0,0.0,1.0,0
JoshW,_DSC0024.tif,2,4,2,4222.0,4440.0,2338.0,2556.0,3.0,3.0,3
JoshW,DSC_0804.tif,3,1,3,440.0,700.0,3418.0,3678.0,3.0,3.0,3
JoshW,DSC_9239.TIF,1,3,6,3926.0,4154.0,152.0,380.0,2.0,3.0,3
JoshW,DSC_3618.tif,1,2,3,1191.0,1469.0,1210.0,1488.0,4.0,4.0,3
JoshW,_DSC3537.TIF,2,3,3,2033.0,2357.0,2770.0,3094.0,0.0,2.0,1
JoshW,DSC_1348.tif,1,1,6,868.0,1100.0,366.0,598.0,5.0,6.0,5
JoshW,DSC_2827.TIF,3,3,1,2124.0,2310.0,2907.0,3093.0,2.0,4.0,3
JoshW,DSC_4543.TIF,2,2,1,1206.0,1442.0,2048.0,2284.0,4.0,5.0,4
JoshW,DSC_1593.tif,1,1,5,746.0,932.0,584.0,770.0,5.0,5.0,6
JoshW,DSC_0807.tif,3,3,3,1930.0,2182.0,3110.0,3362.0,2.0,3.0,1
JoshW,_DSC9859.tif,2,4,2,4374.0,4548.0,2284.0,2458.0,4.0,4.0,4
JoshW,_DSC9859.tif,2,2,4,1620.0,1794.0,2740.0,2914.0,3.0,3.0,4
JoshW,DSC_1593.tif,1,5,5,4396.0,4582.0,597.0,783.0,4.0,4.0,4
JoshW,DSC_7708.TIF,3,1,5,1358.0,1576.0,3578.0,3796.0,3.0,3.0,3
JoshW,DSC_4543.TIF,3,3,5,2334.0,2562.0,3303.0,3531.0,4.0,4.0,3
JoshW,DSC_1175.tif,1,3,4,2342.0,2578.0,865.0,1101.0,2.0,2.0,0
JoshW,DSC_9242.TIF,1,1,2,522.0,816.0,538.0,832.0,2.0,2.0,1
JoshW,DSC_0112.TIF,3,1,2,471.0,759.0,3230.0,3518.0,2.0,4.0,3
JoshW,DSC_3615.tif,3,3,1,1955.0,2191.0,3034.0,3270.0,2.0,2.0,4
JoshW,_DSC0175.tif,2,1,1,546.0,654.0,1543.0,1651.0,3.0,3.0,5
JoshW,_DSC1647.tif,2,2,8,2152.0,2272.0,1144.0,1264.0,0.0,1.0,2
JoshW,DSC_7586.TIF,3,1,4,1328.0,1636.0,3413.0,3721.0,2.0,2.0,3
JoshW,_DSC1805.tif,4,3,6,3364.0,3476.0,3072.0,3184.0,6.0,6.0,6
JoshW,DSC_9242.TIF,1,1,5,1030.0,1342.0,468.0,780.0,2.0,2.0,2
JoshW,_DSC7621.tif,1,3,6,2238.0,2496.0,562.0,820.0,6.0,6.0,6
JoshW,DSC_7494.TIF,1,2,5,1626.0,1872.0,889.0,1135.0,1.0,2.0,2
JoshW,_DSC1805.tif,4,4,2,3801.0,3927.0,2836.0,2962.0,6.0,5.0,6
JoshW,DSC_9231.TIF,1,3,6,4158.0,4398.0,306.0,546.0,4.0,4.0,4
JoshW,DSC_1344.tif,3,3,3,2158.0,2436.0,3471.0,3749.0,3.0,3.0,3
JoshW,DSC_2827.TIF,2,2,3,1200.0,1416.0,2577.0,2793.0,6.0,6.0,6
JoshW,DSC_7811.tif,1,2,3,3498.0,3830.0,873.0,1205.0,1.0,1.0,0
JoshW,DSC_1592.tif,1,5,3,3830.0,4128.0,850.0,1148.0,4.0,4.0,4
JoshW,_DSC0023.tif,2,2,7,2010.0,2222.0,2415.0,2627.0,1.0,1.0,0
JoshW,_DSC0170.tif,1,4,5,4310.0,4480.0,1084.0,1254.0,5.0,5.0,5
JoshW,DSC_4538.TIF,3,1,2,304.0,532.0,3450.0,3678.0,1.0,2.0,1
JoshW,DSC_2452.tif,2,2,2,1610.0,1770.0,1800.0,1960.0,5.0,6.0,5
JoshW,_DSC1805.tif,4,1,7,1794.0,1932.0,2959.0,3097.0,0.0,2.0,1
JoshW,_DSC1805.tif,3,4,2,3666.0,3816.0,2078.0,2228.0,3.0,3.0,2
JoshW,DSC_9239.TIF,3,3,3,2960.0,3230.0,2320.0,2590.0,1.0,1.0,1
JoshW,DSC_1593.tif,1,3,3,2198.0,2406.0,682.0,890.0,3.0,3.0,3
JoshW,DSC_7711.TIF,1,2,3,1331.0,1567.0,1612.0,1848.0,6.0,6.0,6
JoshW,_DSC9859.tif,1,3,7,3676.0,3836.0,972.0,1132.0,6.0,6.0,6
JoshW,DSC_9242.TIF,3,3,1,2923.0,3241.0,1664.0,1982.0,1.0,1.0,1
JoshW,DSC_0214.TIF,3,3,5,2654.0,2866.0,3934.0,4146.0,4.0,4.0,4
JoshW,DSC_1348.tif,3,3,6,2503.0,2679.0,3034.0,3210.0,6.0,6.0,6
JoshW,_DSC1647.tif,3,4,1,3938.0,4066.0,2013.0,2141.0,5.0,5.0,5
JoshW,DSC_0217.TIF,1,1,2,228.0,406.0,1112.0,1290.0,3.0,3.0,3
JoshW,DSC_0213.TIF,2,2,4,1768.0,1948.0,2723.0,2903.0,5.0,5.0,5
JoshW,DSC_7711.TIF,3,3,6,2376.0,2608.0,3284.0,3516.0,6.0,6.0,5
JoshW,DSC_7710.TIF,2,3,3,2038.0,2322.0,2398.0,2682.0,5.0,6.0,4
JoshW,DSC_0805.tif,1,3,4,2384.0,2668.0,1098.0,1382.0,4.0,5.0,4
JoshW,_DSC1805.tif,4,4,4,3794.0,3938.0,3120.0,3264.0,2.0,2.0,2
JoshW,_DSC1647.tif,1,1,4,1080.0,1238.0,756.0,914.0,4.0,4.0,5
JoshW,DSC_3618.tif,2,1,2,700.0,952.0,1855.0,2107.0,2.0,2.0,2
JoshW,_DSC7359.tif,1,4,1,3408.0,3646.0,412.0,650.0,4.0,4.0,4
JoshW,DSC_4538.TIF,3,3,5,2498.0,2702.0,3385.0,3589.0,3.0,4.0,3
JoshW,DSC_4543.TIF,1,1,4,860.0,1090.0,1108.0,1338.0,3.0,4.0,3
JoshW,DSC_7711.TIF,2,1,4,1135.0,1387.0,2542.0,2794.0,4.0,4.0,4
JoshW,DSC_8269.tif,3,3,4,2552.0,2810.0,3504.0,3762.0,6.0,6.0,4
JoshW,_DSC1805.tif,2,1,1,1418.0,1546.0,1154.0,1282.0,5.0,6.0,5
JoshW,_DSC1805.tif,4,4,5,4029.0,4171.0,3160.0,3302.0,6.0,5.0,5
JoshW,_DSC1647.tif,3,3,8,3218.0,3358.0,2069.0,2209.0,4.0,4.0,4
JoshW,_DSC8786.tif,2,2,4,1905.0,2159.0,2766.0,3020.0,1.0,1.0,0
JoshW,_DSC8785.tif,1,4,1,4470.0,4662.0,598.0,790.0,1.0,1.0,1
JoshW,DSC_6617.tif,3,1,1,422.0,624.0,3186.0,3388.0,4.0,4.0,4
JoshW,DSC_0808.tif,2,2,1,1434.0,1610.0,1804.0,1980.0,4.0,4.0,3
JoshW,DSC_0808.tif,3,3,4,2537.0,2747.0,3236.0,3446.0,5.0,6.0,4
JoshW,_DSC7359.tif,2,4,6,3814.0,4014.0,2156.0,2356.0,2.0,2.0,0
JoshW,_DSC1646.tif,4,4,8,4172.0,4300.0,2634.0,2762.0,4.0,5.0,4
JoshW,DSC_4390.TIF,3,1,1,894.0,1138.0,3168.0,3412.0,6.0,6.0,5
