scorer,basename,row,col,pos,x1,x2,y1,y2,old_score,median_score,new_score
6,DSC_0214.TIF,1,3,3,2216.0,2444.0,1416.0,1644.0,5.0,4.0,4
6,DSC_1177.tif,1,1,6,766.0,984.0,327.0,545.0,5.0,5.0,6
6,DSC_2828.TIF,3,3,4,2464.0,2690.0,3162.0,3388.0,5.0,5.0,5
6,_DSC0771.tif,3,3,6,2760.0,3058.0,3700.0,3998.0,3.0,3.0,2
6,_DSC1646.tif,1,4,4,3793.0,3957.0,518.0,682.0,4.0,4.0,4
6,_DSC0170.tif,2,3,1,3148.0,3296.0,1593.0,1741.0,5.0,5.0,5
6,_DSC1646.tif,4,1,3,1040.0,1194.0,3033.0,3187.0,5.0,5.0,5
6,_DSC1646.tif,4,2,5,2272.0,2454.0,3229.0,3411.0,1.0,1.0,1
6,_DSC0170.tif,3,2,4,1990.0,2154.0,3107.0,3271.0,6.0,5.0,5
6,_DSC3535.TIF,1,2,1,1620.0,1880.0,633.0,893.0,4.0,4.0,4
6,DSC_5087.TIF,3,1,1,988.0,1226.0,2808.0,3046.0,4.0,4.0,6
6,DSC_2397.tif,1,3,2,1883.0,2177.0,752.0,1046.0,2.0,2.0,2
6,_DSC1646.tif,3,1,7,1365.0,1525.0,2028.0,2188.0,5.0,5.0,4
6,DSC_2870.tif,3,1,3,585.0,891.0,3152.0,3458.0,4.0,4.0,6
6,DSC_7491.TIF,2,3,3,2150.0,2350.0,2612.0,2812.0,4.0,4.0,5
6,DSC_0806.tif,3,1,5,943.0,1181.0,3300.0,3538.0,3.0,3.0,3
6,DSC_7713.TIF,3,3,1,2204.0,2440.0,3362.0,3598.0,3.0,3.0,4
6,DSC_0213.TIF,3,3,3,2079.0,2423.0,3876.0,4220.0,3.0,3.0,3
6,DSC_7492.TIF,2,1,1,852.0,1062.0,1914.0,2124.0,6.0,6.0,6
6,_DSC1646.tif,1,2,7,2219.0,2383.0,306.0,470.0,5.0,5.0,5
6,_DSC8785.tif,2,3,1,3388.0,3580.0,1828.0,2020.0,5.0,5.0,5
6,DSC_7713.TIF,1,2,5,1875.0,2097.0,948.0,1170.0,1.0,2.0,2
6,DSC_4394.TIF,3,3,2,1911.0,2129.0,3378.0,3596.0,5.0,5.0,6
6,DSC_4393.TIF,1,3,1,2355.0,2575.0,654.0,874.0,6.0,5.0,6
6,DSC_4394.TIF,3,3,3,1825.0,2069.0,3636.0,3880.0,6.0,5.0,5
6,DSC_5085.TIF,3,3,5,2718.0,3068.0,3468.0,3818.0,4.0,4.0,5
6,DSC_3617.tif,2,1,4,1247.0,1475.0,2308.0,2536.0,3.0,4.0,5
6,DSC_9242.TIF,1,1,2,522.0,816.0,538.0,832.0,2.0,2.0,3
6,DSC_0806.tif,2,2,6,1506.0,1676.0,1774.0,1944.0,5.0,5.0,6
6,DSC_7492.TIF,2,3,4,2756.0,3020.0,2462.0,2726.0,5.0,5.0,5
6,_DSC1805.tif,4,3,5,3316.0,3448.0,3182.0,3314.0,3.0,4.0,4
6,_DSC0766.tif,1,2,2,1666.0,2008.0,1131.0,1473.0,3.0,3.0,4
6,DSC_6261.tif,2,1,3,1171.0,1391.0,3598.0,3818.0,6.0,6.0,6
6,DSC_7492.TIF,3,1,5,1458.0,1720.0,3696.0,3958.0,5.0,5.0,6
6,_DSC1805.tif,4,1,7,1794.0,1932.0,2959.0,3097.0,2.0,2.0,2
