,x,y,sector
0,108.63060686015831,150.04749340369392,1
1,27.83905013192612,230.83905013192611,1
2,28.0,231.0,1
3,28.0,232.0,1
4,31.0,235.0,1
5,31.0,237.0,1
6,32.0,238.0,1
7,32.0,239.0,1
8,34.0,241.0,1
9,34.0,242.0,1
10,37.0,245.0,1
11,37.0,246.0,1
12,38.0,246.0,1
13,41.0,249.0,1
14,42.0,249.0,1
15,43.0,250.0,1
16,44.0,250.0,1
17,45.0,251.0,1
18,46.0,251.0,1
19,47.0,252.0,1
20,48.0,252.0,1
21,51.0,255.0,1
22,52.0,255.0,1
23,53.0,256.0,1
24,54.0,256.0,1
25,58.0,260.0,1
26,59.0,260.0,1
27,60.0,261.0,1
28,62.0,261.0,1
29,63.0,262.0,1
30,64.0,261.0,1
31,65.0,262.0,1
32,69.0,262.0,1
33,70.0,263.0,1
34,78.0,263.0,1
35,79.0,264.0,1
36,86.0,264.0,1
37,87.0,263.0,1
38,89.0,263.0,1
39,90.0,264.0,1
40,92.0,264.0,1
41,93.0,265.0,1
42,94.0,265.0,1
43,95.0,266.0,1
44,96.0,266.0,1
45,99.0,269.0,1
46,99.0,274.0,1
47,100.0,274.0,1
48,101.0,275.0,1
49,102.0,275.0,1
50,103.0,276.0,1
51,104.0,276.0,1
52,105.0,275.0,1
53,106.0,276.0,1
54,108.63060686015832,276.0,1
55,108.63060686015831,150.04749340369392,1
56,108.63060686015831,150.04749340369392,2
57,2.047493403693933,150.04749340369392,2
58,3.0,151.0,2
59,3.0,152.0,2
60,2.0,153.0,2
61,1.0,153.0,2
62,0.0,154.0,2
63,0.0,162.0,2
64,1.0,163.0,2
65,0.0,164.0,2
66,0.0,166.0,2
67,1.0,167.0,2
68,1.0,169.0,2
69,2.0,170.0,2
70,2.0,172.0,2
71,3.0,173.0,2
72,3.0,177.0,2
73,4.0,178.0,2
74,4.0,182.0,2
75,5.0,183.0,2
76,5.0,184.0,2
77,6.0,185.0,2
78,6.0,187.0,2
79,8.0,189.0,2
80,8.0,191.0,2
81,9.0,192.0,2
82,9.0,193.0,2
83,10.0,194.0,2
84,10.0,196.0,2
85,11.0,197.0,2
86,11.0,199.0,2
87,12.0,200.0,2
88,12.0,202.0,2
89,13.0,203.0,2
90,13.0,204.0,2
91,14.0,205.0,2
92,14.0,206.0,2
93,16.0,208.0,2
94,16.0,209.0,2
95,18.0,211.0,2
96,18.0,213.0,2
97,17.0,214.0,2
98,19.0,216.0,2
99,19.0,218.0,2
100,20.0,219.0,2
101,20.0,220.0,2
102,26.0,226.0,2
103,26.0,228.0,2
104,27.0,229.0,2
105,27.0,230.0,2
106,27.83905013192612,230.83905013192611,2
107,108.63060686015831,150.04749340369392,2
108,108.63060686015831,150.04749340369392,3
109,28.791556728232173,70.20844327176783,3
110,19.0,80.0,3
111,19.0,81.0,3
112,17.0,83.0,3
113,17.0,84.0,3
114,16.0,85.0,3
115,16.0,87.0,3
116,15.0,88.0,3
117,15.0,90.0,3
118,13.0,92.0,3
119,13.0,93.0,3
120,12.0,94.0,3
121,12.0,98.0,3
122,11.0,99.0,3
123,11.0,101.0,3
124,10.0,102.0,3
125,10.0,103.0,3
126,9.0,104.0,3
127,9.0,106.0,3
128,8.0,107.0,3
129,8.0,111.0,3
130,9.0,112.0,3
131,9.0,114.0,3
132,8.0,115.0,3
133,8.0,118.0,3
134,6.0,120.0,3
135,6.0,122.0,3
136,5.0,123.0,3
