img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,1,1,1,764,1038,744,1018
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,1,2,0,700,982,968,1250
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,1,3,0,656,914,1193,1451
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,1,4,0,836,1094,1374,1632
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,1,5,4,1116,1370,1381,1635
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,1,6,0,1156,1428,1142,1414
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,1,7,0,1147,1349,924,1126
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,1,8,0,1015,1223,730,938
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,2,1,1,1845,2039,640,834
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,2,2,0,1682,1924,770,1012
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,2,3,0,1614,1872,1008,1266
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,2,4,0,1656,1894,1287,1525
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,2,5,4,2041,2279,1280,1518
/Volumes/Mark-Banfield/Josh_Williams/Scoring_5May/Adam/_DSC0139.tif,2,4,1,2,6,0,2098,2366,1081,1349
