img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,1,2,1,1,1534,1846,136,448
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,1,2,2,0,1390,1668,511,789
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,1,2,3,0,1412,1690,844,1122
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,1,2,4,0,2001,2229,860,1088
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,1,2,5,0,1990,2268,468,746
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,1,2,6,0,1934,2170,128,364
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,1,1,0,717,961,1180,1424
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,1,2,0,548,826,1479,1757
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,1,3,0,448,718,1828,2098
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,1,4,0,1137,1383,1786,2032
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,1,5,0,1096,1340,1429,1673
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,1,6,0,1020,1240,1180,1400
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,3,1,0,2283,2495,1348,1560
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,3,2,0,1998,2326,1614,1942
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,3,3,0,2006,2292,1998,2284
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,3,4,0,2693,2937,2074,2318
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,3,5,0,2755,3001,1668,1914
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,2,3,6,1,2599,2845,1306,1552
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,1,1,0,928,1156,2709,2937
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,1,2,0,684,994,2908,3218
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,1,3,0,590,928,3286,3624
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,1,4,0,1297,1517,3404,3624
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,1,5,1,1316,1568,3026,3278
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,1,6,2,1183,1429,2738,2984
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,3,1,0,2082,2292,2908,3118
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,3,2,0,1946,2208,3202,3464
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,3,3,0,1938,2268,3514,3844
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,3,4,0,2701,2945,3464,3708
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,3,5,0,2588,2840,3034,3286
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_7587.TIF,3,3,3,3,6,0,2418,2662,2735,2979
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_6338.tif,3,3,1,1,1,0,287,473,464,650
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_6338.tif,3,3,1,1,2,5,278,440,712,874
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/JoshB/DSC_6338.tif,3,3,1,1,3,5,291,427,944,1080
