img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,1,1,0,498,802,191,495
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,1,2,0,396,700,510,814
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,1,3,3,406,674,852,1120
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,1,4,5,924,1160,810,1046
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,1,5,6,970,1206,523,759
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,1,6,0,834,1112,220,498
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,3,1,0,1872,2158,292,578
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,3,2,0,1720,2040,540,860
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,3,3,0,1762,2106,853,1197
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,3,4,2,2342,2620,856,1134
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,3,5,6,2276,2520,540,784
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,1,3,6,6,2158,2376,360,578
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,2,2,1,6,1197,1441,1484,1728
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,2,2,2,0,1033,1329,1778,2074
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,2,2,3,0,1020,1408,2009,2397
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,2,2,4,0,1678,2022,2011,2355
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,2,2,5,4,1644,1904,1695,1955
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,2,2,6,5,1518,1770,1484,1736
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,3,1,1,5,540,792,2705,2957
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,3,1,2,6,405,633,2924,3152
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,3,1,3,0,322,708,3169,3555
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,3,1,4,0,996,1332,3207,3543
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,3,1,5,0,928,1214,2891,3177
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,3,1,6,4,822,1116,2630,2924
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,3,3,1,0,1998,2276,2696,2974
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,3,3,2,6,1880,2234,2991,3345
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Mark/DSC_1175.tif,3,3,3,3,3,6,2103,2415,3328,3640
