img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,1,1,2,1,170,478,616,924
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,1,1,4,4,710,1012,914,1216
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,1,1,5,4,794,1062,646,914
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,1,1,6,4,619,921,316,618
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,1,3,1,5,2096,2342,310,556
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,1,3,2,5,1988,2276,576,864
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,1,3,3,3,1834,2164,816,1146
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,1,3,4,1,2444,2766,872,1194
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,2,2,1,1,1146,1404,1806,2064
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,2,2,2,2,1040,1384,2054,2398
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,2,2,3,3,1033,1341,2430,2738
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,2,2,4,2,1532,1854,2388,2710
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Caroline\DSC_0104.TIF,3,3,3,1,2,2,288,548,3244,3504
