img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,1,1,1,2,654,888,654,888
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,1,1,2,4,542,834,888,1180
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,1,1,3,3,411,701,1152,1442
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,1,1,5,3,900,1174,892,1166
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,1,3,1,2,2298,2534,764,1000
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,1,3,4,5,2532,2816,1409,1693
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,1,3,5,5,2583,2863,1100,1380
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,1,3,6,6,2566,2820,798,1052
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,2,2,1,2,1300,1552,1689,1941
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,2,2,2,2,1229,1511,1980,2262
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,2,2,3,2,1174,1434,2338,2598
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,2,2,4,1,1756,2002,2310,2556
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,3,1,1,1,660,872,3075,3287
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,3,1,4,3,994,1262,3616,3884
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,3,1,5,3,962,1216,3286,3540
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,3,1,6,2,897,1149,3006,3258
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,3,3,2,2,1956,2216,3336,3596
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,3,3,4,3,2536,2794,3670,3928
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,3,3,5,4,2480,2710,3358,3588
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0103.TIF,3,3,3,3,6,3,2310,2598,3012,3300
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0105.TIF,3,3,1,1,3,0,444,738,1090,1384
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/JoshW/DSC_0105.TIF,3,3,1,1,4,0,1089,1369,942,1222
