img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,1,1,2,2,296,608,674,986
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,1,1,4,2,895,1189,1038,1332
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,1,1,5,4,987,1257,750,1020
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,1,1,6,2,826,1164,430,768
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,1,3,1,1,2125,2385,482,742
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,1,3,2,1,2001,2305,776,1080
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,1,3,3,5,1964,2250,1092,1378
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,2,2,1,3,1231,1517,1838,2124
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,2,2,2,2,1139,1501,2090,2452
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,2,2,3,3,1109,1463,2376,2730
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,2,2,4,3,1602,2014,2330,2742
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,3,1,4,2,1038,1424,3649,4035
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,3,1,5,3,1020,1374,3341,3695
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,3,1,6,1,952,1180,3063,3291
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,3,3,1,1,2150,2436,3182,3468
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,3,3,2,1,1994,2330,3464,3800
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,3,3,3,3,1905,2191,3826,4112
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0111.TIF,3,3,3,3,4,0,2502,2916,3733,4147
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,1,1,1,5,624,844,855,1075
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,1,1,2,4,438,726,1070,1358
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,1,1,3,4,410,722,1324,1636
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,1,1,6,3,910,1180,784,1054
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,1,3,3,3,2124,2352,1332,1560
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,1,3,4,4,2655,2907,1408,1660
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,1,3,5,3,2658,2878,1104,1324
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,1,3,6,0,2613,2831,844,1062
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,2,2,1,3,1484,1754,2014,2284
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,2,2,4,4,1770,2074,2519,2823
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,2,2,6,2,1741,2001,1998,2258
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,3,1,2,3,624,928,3674,3978
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,3,1,5,4,1156,1424,3666,3934
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,3,3,1,1,2402,2620,3632,3850
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,3,3,2,1,2360,2696,3788,4124
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0212.TIF,3,3,3,3,3,4,2258,2546,4086,4374
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,1,2,2,5,1428,1886,724,1182
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,1,2,4,2,2124,2504,1110,1490
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,1,2,5,5,2028,2552,667,1191
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,1,2,6,5,2000,2400,382,782
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,2,1,1,4,906,1266,1877,2237
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,2,1,4,3,1372,1818,2491,2937
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,2,1,5,4,1248,1752,2033,2537
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,2,1,6,4,1190,1562,1743,2115
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,2,3,1,5,2272,2642,2010,2380
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,2,3,2,5,2162,2494,2309,2641
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,2,3,3,1,2218,2638,2556,2976
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,2,3,5,4,2762,3142,2105,2485
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,3,1,2,6,744,1304,3761,4321
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,3,1,4,1,1481,1899,4094,4512
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,3,1,5,6,1500,1880,3732,4112
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,3,1,6,5,1286,1800,3404,3918
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,3,3,3,4,2190,2694,4341,4845
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,3,3,4,4,2808,3266,4222,4680
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,3,3,5,3,2800,3284,3842,4326
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC1333.TIF,3,3,3,3,6,2,2618,3170,3499,4051
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,1,1,1,0,452,822,220,590
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,1,1,6,1,814,1176,162,524
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,1,3,2,0,2026,2524,624,1122
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,1,3,5,2,2662,3050,705,1093
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,2,2,1,0,1290,1610,1534,1854
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,2,2,2,2,1188,1542,1837,2191
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,2,2,3,0,1180,1552,2229,2601
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,2,2,5,0,1660,2116,1811,2267
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,3,1,3,1,338,860,3577,4099
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,3,1,4,1,1025,1421,3556,3952
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,3,3,2,0,1904,2276,3299,3671
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/DSC_0108.TIF,3,3,3,3,5,0,2436,2856,3291,3711
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC0765.tif,3,3,1,2,1,3,1686,1980,967,1261
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC0765.tif,3,3,1,2,2,3,1428,1752,1238,1562
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC0765.tif,3,3,1,2,3,2,1490,1928,1476,1914
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC0765.tif,3,3,2,1,1,2,506,858,1990,2342
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC0765.tif,3,3,2,1,2,1,439,857,2362,2780
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC0765.tif,3,3,2,1,3,1,506,906,2775,3175
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC0765.tif,3,3,2,3,4,0,2904,3352,2861,3309
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC0765.tif,3,3,2,3,5,1,2876,3304,2509,2937
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC0765.tif,3,3,2,3,6,1,2846,3152,2251,2557
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_5May/Mark/_DSC0765.tif,3,3,3,1,4,0,1248,1724,4351,4827
