img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,1,1,1,3,639,893,618,872
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,1,1,2,4,562,816,878,1132
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,1,1,3,3,398,728,1096,1426
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,1,1,5,3,914,1216,882,1184
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,1,3,1,2,2262,2536,738,1012
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,1,3,4,4,2536,2922,1359,1745
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,1,3,5,5,2612,2942,1121,1451
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,1,3,6,4,2571,2845,788,1062
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,2,2,1,3,1306,1594,1682,1970
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,2,2,2,3,1258,1566,1991,2299
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,2,2,3,4,1180,1524,2321,2665
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,2,2,4,1,1774,2034,2324,2584
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,3,1,1,3,643,895,3048,3300
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,3,1,4,3,1011,1299,3610,3898
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,3,1,5,4,970,1250,3290,3570
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,3,1,6,4,910,1156,3040,3286
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,3,3,2,2,1960,2240,3333,3613
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,3,3,4,3,2500,2802,3652,3954
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,3,3,5,6,2416,2752,3322,3658
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0103.TIF,3,3,3,3,6,4,2360,2648,3030,3318
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0105.TIF,3,3,1,1,3,0,411,763,1046,1398
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0105.TIF,3,3,1,1,4,0,1076,1398,928,1250
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0105.TIF,3,3,1,3,2,0,2044,2374,615,945
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0105.TIF,3,3,1,3,5,0,2598,2956,622,980
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0105.TIF,3,3,2,2,1,0,1366,1662,1404,1700
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0105.TIF,3,3,2,2,6,0,1672,1938,1356,1622
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0105.TIF,3,3,3,1,2,1,464,794,3220,3550
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0105.TIF,3,3,3,1,5,0,899,1223,3230,3554
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0105.TIF,3,3,3,3,1,0,2272,2546,2964,3238
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0105.TIF,3,3,3,3,6,0,2567,2849,2928,3210
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,1,1,3,0,464,738,1015,1289
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,1,1,4,1,1016,1366,844,1194
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,1,3,1,0,2113,2381,246,514
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,1,3,6,0,2430,2718,162,450
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,2,2,1,1,1447,1727,1476,1756
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,2,2,6,0,1760,2026,1482,1748
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,3,1,2,0,475,783,3076,3384
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,3,1,4,0,920,1264,3469,3813
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,3,1,5,0,998,1370,3142,3514
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,3,3,3,0,1935,2307,3496,3868
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0106.TIF,3,3,3,3,4,0,2556,2914,3596,3954
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0109.TIF,3,3,1,1,3,5,342,628,1104,1390
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0109.TIF,3,3,1,1,4,4,858,1166,1142,1450
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0109.TIF,3,3,1,1,5,3,858,1160,784,1086
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0109.TIF,3,3,1,3,1,2,2192,2494,366,668
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0109.TIF,3,3,1,3,6,3,2511,2791,380,660
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0109.TIF,3,3,2,2,2,3,1201,1511,1896,2206
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0109.TIF,3,3,2,2,5,5,1857,2125,1748,2016
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0109.TIF,3,3,3,1,3,3,474,784,3672,3982
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0109.TIF,3,3,3,1,4,1,1135,1493,3496,3854
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_5May\Yuxuan\DSC_0109.TIF,3,3,3,3,1,1,2191,2443,3006,3258
