img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,1,1,5,556,774,324,542
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,1,2,0,393,651,512,770
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,1,3,0,349,635,770,1056
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,1,4,0,753,987,344,578
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,1,5,5,746,932,584,770
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,1,6,4,702,942,775,1015
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,2,1,0,1293,1495,360,562
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,2,2,4,1227,1445,562,780
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,2,3,0,1168,1386,784,1002
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,2,4,5,1483,1683,372,572
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,2,5,1,1594,1784,534,724
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,2,6,0,1604,1840,769,1005
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,3,1,4,2221,2435,236,450
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,3,2,0,2180,2410,444,674
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,3,3,3,2154,2428,654,928
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,3,4,3,2428,2710,193,475
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,3,5,0,2546,2788,440,682
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,3,6,0,2574,2798,696,920
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Scoring_20Oct/Clem/DSC_1593.tif,2,5,1,4,1,3,3152,3326,320,494
