img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_2871.tif,1,2,1,1,1,1,541,927,1594,1980
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_2871.tif,1,2,1,1,2,0,470,890,1990,2410
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_2871.tif,1,2,1,1,3,0,949,1369,1964,2384
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_2871.tif,1,2,1,1,4,4,916,1278,1610,1972
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_2871.tif,1,2,1,2,1,0,2061,2423,1686,2048
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_2871.tif,1,2,1,2,2,0,1938,2394,2035,2491
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_2871.tif,1,2,1,2,3,0,2419,2849,2056,2486
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_2871.tif,1,2,1,2,4,5,2363,2735,1702,2074
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,1,1,0,600,928,212,540
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,1,2,0,418,790,514,886
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,1,3,0,600,962,805,1167
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,1,4,3,1041,1353,734,1046
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,1,5,5,1012,1256,464,708
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,1,6,5,902,1130,300,528
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,3,1,6,2184,2444,330,590
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,3,2,0,1951,2297,498,844
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,3,3,0,1922,2310,826,1214
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,3,4,0,2410,2798,826,1214
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,3,5,5,2452,2730,556,834
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,1,3,6,6,2428,2688,313,573
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,2,2,1,4,1361,1607,1466,1712
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,2,2,2,4,1290,1534,1682,1926
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,2,2,3,0,1306,1618,1917,2229
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,2,2,4,0,1699,2061,1922,2284
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,2,2,5,0,1686,2022,1539,1875
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,2,2,6,3,1572,1800,1416,1644
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,3,1,1,4,582,886,2789,3093
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,3,1,2,5,591,843,3084,3336
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,3,1,3,4,704,982,3294,3572
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,3,1,4,0,1066,1446,3210,3590
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,3,1,5,0,1012,1358,2873,3219
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,3,1,6,2,881,1143,2696,2958
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,3,3,1,0,1938,2224,2638,2924
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,3,3,2,2,1980,2258,2899,3177
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,3,3,4,3,2439,2727,3016,3304
/Volumes/Mark-Banfield/Josh_Williams/Scoring_20Oct/Emma/DSC_8264.tif,3,3,3,3,5,0,2342,2620,2755,3033
