img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,1,1,5,541,777,388,624
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,1,2,0,396,694,686,984
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,1,3,0,388,746,1016,1374
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,1,4,0,1001,1299,818,1116
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,1,5,4,870,1176,577,883
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,1,6,5,792,1098,282,588
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,3,1,5,2230,2432,352,554
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,3,2,6,2086,2322,598,834
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,3,3,1,2019,2291,932,1204
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,3,4,0,2589,2871,904,1186
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,3,5,0,2528,2800,559,831
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,1,3,6,5,2419,2699,308,588
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,2,2,1,4,1431,1677,1720,1966
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,2,2,2,5,1352,1590,2001,2239
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,2,2,3,6,1378,1634,2330,2586
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,2,2,4,0,1883,2155,2230,2502
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,2,2,5,0,1774,2090,1896,2212
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,2,2,6,0,1729,2001,1616,1888
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,3,1,1,0,466,720,2914,3168
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,3,1,2,3,518,800,3159,3441
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,3,1,3,4,554,818,3463,3727
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,3,1,4,5,958,1194,3454,3690
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,3,1,5,0,861,1141,3090,3370
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,3,1,6,0,720,1002,2803,3085
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,3,3,1,0,2248,2510,2950,3212
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,3,3,2,0,2090,2422,3236,3568
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,3,3,3,2,2046,2344,3607,3905
\\nbi-ufiles\shared\Research-Groups\Mark-Banfield\Josh_Williams\Scoring_20Oct\Raf\DSC_0803.tif,3,3,3,3,4,5,2569,2875,3520,3826
