img,maxrow,maxcol,row,col,pos,score,x1,x2,y1,y2
DSC_0806.tif,3,3,1,1,1,0,401,707,264,570
DSC_0806.tif,3,3,1,1,2,4,428,658,560,790
DSC_0806.tif,3,3,1,1,3,4,363,617,990,1244
DSC_0806.tif,3,3,1,1,4,5,822,1032,854,1064
DSC_0806.tif,3,3,1,1,5,0,738,990,576,828
DSC_0806.tif,3,3,1,1,6,0,723,923,286,486
DSC_0806.tif,3,3,1,3,1,0,1743,1985,402,644
DSC_0806.tif,3,3,1,3,2,0,1676,1928,644,896
DSC_0806.tif,3,3,1,3,3,3,1612,1874,1076,1338
DSC_0806.tif,3,3,1,3,4,6,2065,2329,948,1212
DSC_0806.tif,3,3,1,3,5,6,2070,2302,686,918
DSC_0806.tif,3,3,1,3,6,0,2076,2286,486,696
DSC_0806.tif,3,3,2,2,1,0,1232,1476,1690,1934
DSC_0806.tif,3,3,2,2,2,0,1107,1349,1950,2192
DSC_0806.tif,3,3,2,2,3,0,1023,1265,2192,2434
DSC_0806.tif,3,3,2,2,4,2,1506,1748,2207,2449
DSC_0806.tif,3,3,2,2,5,5,1502,1722,1992,2212
DSC_0806.tif,3,3,2,2,6,5,1506,1676,1774,1944
DSC_0806.tif,3,3,3,1,1,6,570,780,3076,3286
DSC_0806.tif,3,3,3,1,2,0,438,712,3286,3560
DSC_0806.tif,3,3,3,1,3,0,380,696,3644,3960
DSC_0806.tif,3,3,3,1,4,0,906,1222,3597,3913
DSC_0806.tif,3,3,3,1,5,3,933,1185,3308,3560
DSC_0806.tif,3,3,3,1,6,4,912,1154,3034,3276
DSC_0806.tif,3,3,3,3,1,5,1997,2165,2918,3086
DSC_0806.tif,3,3,3,3,2,4,1960,2150,3107,3297
DSC_0806.tif,3,3,3,3,3,0,1933,2185,3402,3654
DSC_0806.tif,3,3,3,3,4,0,2434,2686,3387,3639
DSC_0806.tif,3,3,3,3,5,0,2350,2560,3076,3286
DSC_0806.tif,3,3,3,3,6,2,2249,2449,2824,3024
DSC_1173.tif,3,3,1,1,1,6,696,884,444,632
DSC_1173.tif,3,3,1,1,2,0,496,770,632,906
DSC_1173.tif,3,3,1,1,3,0,674,896,943,1165
DSC_1173.tif,3,3,1,1,4,0,1138,1348,896,1106
DSC_1173.tif,3,3,1,1,5,4,1032,1244,554,766
DSC_1173.tif,3,3,1,1,6,5,917,1107,370,560
DSC_1173.tif,3,3,1,3,1,6,2150,2318,454,622
DSC_1173.tif,3,3,1,3,2,6,2023,2171,580,728
DSC_1173.tif,3,3,1,3,3,0,2013,2255,844,1086
DSC_1173.tif,3,3,1,3,4,0,2454,2666,826,1038
DSC_1173.tif,3,3,1,3,5,1,2402,2592,559,749
DSC_1173.tif,3,3,1,3,6,6,2328,2518,385,575
DSC_1173.tif,3,3,2,2,1,4,1517,1717,1728,1928
DSC_1173.tif,3,3,2,2,2,5,1449,1649,1950,2150
DSC_1173.tif,3,3,2,2,3,6,1402,1580,2192,2370
DSC_1173.tif,3,3,2,2,4,0,1906,2106,2175,2375
DSC_1173.tif,3,3,2,2,5,0,1839,2049,1896,2106
DSC_1173.tif,3,3,2,2,6,0,1780,1980,1691,1891
DSC_1173.tif,3,3,3,1,1,0,548,738,2928,3118
DSC_1173.tif,3,3,3,1,2,4,474,686,3138,3350
DSC_1173.tif,3,3,3,1,3,5,481,659,3392,3570
DSC_1173.tif,3,3,3,1,4,6,875,1097,3360,3582
DSC_1173.tif,3,3,3,1,5,0,965,1175,3108,3318
DSC_1173.tif,3,3,3,1,6,0,812,1012,2896,3096
DSC_1173.tif,3,3,3,3,1,0,1959,2191,2928,3160
DSC_1173.tif,3,3,3,3,2,0,1854,2128,3207,3481
DSC_1173.tif,3,3,3,3,3,3,1812,2076,3480,3744
DSC_1173.tif,3,3,3,3,4,5,2512,2734,3444,3666
DSC_1173.tif,3,3,3,3,5,6,2396,2596,3182,3382
DSC_1173.tif,3,3,3,3,6,0,2275,2497,2854,3076
DSC_1176.tif,3,3,1,1,1,0,538,790,391,643
