split,filename,full_path,label
train,_DSC0024_2_1_1.tif,_DSC0024_2_1_1.tif,2
train,_DSC0024_1_2_8.tif,_DSC0024_1_2_8.tif,1
train,DSC_9240_1_3_3.tif,DSC_9240_1_3_3.tif,3
train,DSC_7712_3_3_1.tif,DSC_7712_3_3_1.tif,2
train,DSC_9227_s2_1_3_5.tif,DSC_9227_s2_1_3_5.tif,6
train,_DSC0771_2_1_1.tif,_DSC0771_2_1_1.tif,2
train,DSC_0212_3_3_1.tif,DSC_0212_3_3_1.tif,1
train,DSC_0104_1_3_4.tif,DSC_0104_1_3_4.tif,2
train,DSC_2452_1_1_5.tif,DSC_2452_1_1_5.tif,6
train,_DSC9858_1_3_8.tif,_DSC9858_1_3_8.tif,5
train,DSC_2395_3_1_3.tif,DSC_2395_3_1_3.tif,5
train,_DSC3040_1_2_3.tif,_DSC3040_1_2_3.tif,0
train,DSC_2452_1_1_1.tif,DSC_2452_1_1_1.tif,5
train,_DSC0175_2_1_8.tif,_DSC0175_2_1_8.tif,3
train,DSC_3612_3_3_2.tif,DSC_3612_3_3_2.tif,2
train,DSC_4390_3_3_2.tif,DSC_4390_3_3_2.tif,6
train,_DSC9859_2_1_2.tif,_DSC9859_2_1_2.tif,4
train,_DSC1334_1_2_1.tif,_DSC1334_1_2_1.tif,6
train,DSC_4390_1_1_2.tif,DSC_4390_1_1_2.tif,3
train,DSC_7588_3_3_1.tif,DSC_7588_3_3_1.tif,1
train,_DSC8787_1_3_8.tif,_DSC8787_1_3_8.tif,2
train,_DSC7622_3_1_2.tif,_DSC7622_3_1_2.tif,6
train,DSC_1351_2_2_1.tif,DSC_1351_2_2_1.tif,6
train,_DSC8787_1_4_7.tif,_DSC8787_1_4_7.tif,4
train,DSC_0216_1_1_6.tif,DSC_0216_1_1_6.tif,3
train,_DSC7623_2_2_5.tif,_DSC7623_2_2_5.tif,0
train,DSC_6339_1_3_3.tif,DSC_6339_1_3_3.tif,3
train,DSC_7586_2_3_5.tif,DSC_7586_2_3_5.tif,3
train,_DSC0023_1_3_3.tif,_DSC0023_1_3_3.tif,0
train,DSC_1346_1_1_3.tif,DSC_1346_1_1_3.tif,3
train,DSC_1176_1_3_5.tif,DSC_1176_1_3_5.tif,6
train,DSC_5087_2_1_5.tif,DSC_5087_2_1_5.tif,0
train,_DSC9261_2_3_2.tif,_DSC9261_2_3_2.tif,5
train,_DSC8787_1_4_5.tif,_DSC8787_1_4_5.tif,3
train,DSC_1351_2_2_4.tif,DSC_1351_2_2_4.tif,3
train,DSC_2453_3_1_4.tif,DSC_2453_3_1_4.tif,4
train,DSC_3614_2_3_2.tif,DSC_3614_2_3_2.tif,3
train,_DSC9260_3_1_2.tif,_DSC9260_3_1_2.tif,2
train,DSC_9242_1_1_6.tif,DSC_9242_1_1_6.tif,2
train,_DSC1805_2_3_7.tif,_DSC1805_2_3_7.tif,6
train,DSC_1180_1_1_4.tif,DSC_1180_1_1_4.tif,5
train,DSC_9234_3_3_5.tif,DSC_9234_3_3_5.tif,4
train,_DSC8106_1_1_3.tif,_DSC8106_1_1_3.tif,0
train,DSC_2870_2_2_2.tif,DSC_2870_2_2_2.tif,6
train,_DSC9856_1_4_5.tif,_DSC9856_1_4_5.tif,0
train,_DSC3538_3_3_3.tif,_DSC3538_3_3_3.tif,2
train,_DSC1805_2_1_1.tif,_DSC1805_2_1_1.tif,6
train,_DSC8787_1_1_4.tif,_DSC8787_1_1_4.tif,4
train,_DSC8787_1_2_5.tif,_DSC8787_1_2_5.tif,2
train,DSC_8265_2_2_5.tif,DSC_8265_2_2_5.tif,3
train,_DSC8787_2_1_6.tif,_DSC8787_2_1_6.tif,2
train,_DSC9857_1_3_2.tif,_DSC9857_1_3_2.tif,0
train,_DSC1647_1_3_5.tif,_DSC1647_1_3_5.tif,3
train,_DSC0139_2_4_2.tif,_DSC0139_2_4_2.tif,1
train,_DSC2690_1_1_4.tif,_DSC2690_1_1_4.tif,0
train,_DSC0768_1_2_2.tif,_DSC0768_1_2_2.tif,3
train,DSC_7588_3_1_5.tif,DSC_7588_3_1_5.tif,2
train,_DSC3043_1_2_2.tif,_DSC3043_1_2_2.tif,1
train,DSC_2867_3_3_5.tif,DSC_2867_3_3_5.tif,3
train,DSC_4388_1_1_3.tif,DSC_4388_1_1_3.tif,1
train,DSC_2828_3_1_5.tif,DSC_2828_3_1_5.tif,0
train,_DSC3044_1_3_2.tif,_DSC3044_1_3_2.tif,2
train,DSC_1351_1_1_3.tif,DSC_1351_1_1_3.tif,4
train,_DSC7621_1_1_6.tif,_DSC7621_1_1_6.tif,6
train,_DSC0023_2_1_7.tif,_DSC0023_2_1_7.tif,1
train,DSC_8265_1_3_4.tif,DSC_8265_1_3_4.tif,3
train,DSC_6619_3_1_4.tif,DSC_6619_3_1_4.tif,2
train,DSC_4540_1_3_5.tif,DSC_4540_1_3_5.tif,3
train,DSC_2828_3_3_6.tif,DSC_2828_3_3_6.tif,0
train,DSC_3614_2_3_1.tif,DSC_3614_2_3_1.tif,3
train,_DSC8787_1_2_4.tif,_DSC8787_1_2_4.tif,3
train,_DSC0768_1_2_1.tif,_DSC0768_1_2_1.tif,3
train,_DSC3040_2_1_5.tif,_DSC3040_2_1_5.tif,0
train,_DSC0175_1_4_7.tif,_DSC0175_1_4_7.tif,1
train,_DSC0138_1_4_4.tif,_DSC0138_1_4_4.tif,0
train,_DSC1014_3_1_2.tif,_DSC1014_3_1_2.tif,5
train,_DSC9859_2_1_4.tif,_DSC9859_2_1_4.tif,3
train,DSC_7585_3_3_6.tif,DSC_7585_3_3_6.tif,2
train,_DSC9856_2_4_3.tif,_DSC9856_2_4_3.tif,4
train,_DSC7622_2_2_6.tif,_DSC7622_2_2_6.tif,6
train,_DSC1334_2_3_1.tif,_DSC1334_2_3_1.tif,1
train,DSC_3615_1_2_4.tif,DSC_3615_1_2_4.tif,1
train,_DSC0170_3_2_2.tif,_DSC0170_3_2_2.tif,6
train,_DSC2691_1_1_1.tif,_DSC2691_1_1_1.tif,3
train,DSC_1558_2_2_5.tif,DSC_1558_2_2_5.tif,5
train,DSC_7711_3_1_2.tif,DSC_7711_3_1_2.tif,6
train,_DSC7623_3_1_2.tif,_DSC7623_3_1_2.tif,0
train,DSC_9239_1_1_1.tif,DSC_9239_1_1_1.tif,2
train,_DSC1646_4_1_3.tif,_DSC1646_4_1_3.tif,5
train,DSC_6617_1_1_6.tif,DSC_6617_1_1_6.tif,0
train,DSC_8268_3_1_4.tif,DSC_8268_3_1_4.tif,5
train,_DSC9854_2_3_2.tif,_DSC9854_2_3_2.tif,1
train,DSC_9235_1_1_6.tif,DSC_9235_1_1_6.tif,3
train,_DSC9858_2_2_1.tif,_DSC9858_2_2_1.tif,5
train,DSC_4388_3_1_2.tif,DSC_4388_3_1_2.tif,6
train,DSC_0208_2_2_6.tif,DSC_0208_2_2_6.tif,6
train,DSC_0212_1_3_5.tif,DSC_0212_1_3_5.tif,2
train,DSC_7709_3_3_3.tif,DSC_7709_3_3_3.tif,2
